Биология,Балл,Статус
№ 1018488,81.223,Победитель
№ 1018743,82.223,Победитель
№ 1019409,82.223,Победитель
№ 1020194,81.023,Победитель
№ 1032557,81.223,Победитель
№ 1034690,83.223,Победитель
№ 1035121,83.297,Победитель
№ 1038507,80.723,Победитель
№ 1041145,86.26,Победитель
№ 1051578,81.347,Победитель
№ 1062815,83.223,Победитель
№ 1071401,80.223,Победитель
№ 1071507,83.223,Победитель
№ 1072021,80.223,Победитель
№ 1072699,81.123,Победитель
№ 1002417,52.604,Призер
№ 1002699,60.393,Призер
№ 1002765,62.519,Призер
№ 1002837,50.319,Призер
№ 1002919,70.334,Призер
№ 1003077,65.667,Призер
№ 1003236,75.319,Призер
№ 1003255,70.732,Призер
№ 1003352,65.167,Призер
№ 1003638,55.193,Призер
№ 1003665,62.26,Призер
№ 1003875,64.008,Призер
№ 1004021,58.093,Призер
№ 1004073,71.982,Призер
№ 1004080,50.067,Призер
№ 1004112,53.804,Призер
№ 1004211,58.593,Призер
№ 1004230,53.245,Призер
№ 1004369,53.067,Призер
№ 1004556,68.208,Призер
№ 1004576,58.267,Призер
№ 1004606,64.63,Призер
№ 1004724,51.156,Призер
№ 1004824,50.104,Призер
№ 1004829,75.408,Призер
№ 1004891,59.782,Призер
№ 1005316,60.334,Призер
№ 1005330,56.304,Призер
№ 1005476,57.993,Призер
№ 1005845,68.819,Призер
№ 1006149,56.356,Призер
№ 1006190,64.156,Призер
№ 1006327,60.156,Призер
№ 1006527,54.304,Призер
№ 1006538,72.408,Призер
№ 1006834,67.93,Призер
№ 1006875,69.371,Призер
№ 1006944,54.556,Призер
№ 1006967,63.208,Призер
№ 1007072,67.008,Призер
№ 1007152,57.534,Призер
№ 1007399,70.708,Призер
№ 1007612,52.697,Призер
№ 1007625,70.393,Призер
№ 1007719,52.23,Призер
№ 1007839,58.119,Призер
№ 1007842,56.593,Призер
№ 1007853,60.082,Призер
№ 1008015,56.504,Призер
№ 1008178,51.356,Призер
№ 1008384,58.956,Призер
№ 1008420,68.208,Призер
№ 1008611,64.856,Призер
№ 1008647,51.693,Призер
№ 1008774,64.356,Призер
№ 1008900,64.482,Призер
№ 1008947,69.556,Призер
№ 1008967,64.745,Призер
№ 1009025,56.004,Призер
№ 1009352,77.523,Призер
№ 1009354,74.871,Призер
№ 1009446,55.541,Призер
№ 1009611,50.634,Призер
№ 1009615,50.567,Призер
№ 1009670,67.019,Призер
№ 1009721,61.619,Призер
№ 1009836,58.519,Призер
№ 1009882,65.208,Призер
№ 1009887,56.319,Призер
№ 1009980,64.721,Призер
№ 1010141,79.26,Призер
